id	Newspaper_Title	Infection_Location	Infect_Lat_Long	Reporting_Location	Report_Lat_Long	Date	Link	Translation	Language	Tags_Keywords	Image_Link
1	Fièvre dengue et grippe, d'après l'épidémie de 1889-1890	Paris					http://gallica.bnf.fr/ark:/12148/bpt6k5442899k/f8.image.r=influenza%20la%20AND%20grippe%20.langEN				
2	The Times	St. Petersburg		London		1889-11-25T00:00:00Z		Russia. St. Petersburg, Nov. 23. During the week there has been a most unusual case of sickness among all classes in St. Petersburg, which, from the semblance of the symptoms, is supposed to be an epidemic of influenza. It is averred that scarcely a family has escaped, while the numbers of those attacked by it in factories, workshops, and schools are quite phenomenal. In one of the larger mills as many as one hundred workmen at one time have been ill, and parts of the work have had to be suspended. The hospitals are overcrowded, and the doctors complain of too much to do. Most of the journals take it as a text for lamentations over the proverbial insalubrity of the city; others attribute it to the horrible weather of the last few weeks, which has consisted of a series of rapid changes between frost and heat, snow and rain, with heavy clouds and semi-darkness.  But if St. Petersburg is the most insalubrious of European capitals, Russia altogether is the unhealthiest country in the civilized world. The latest statistics of the medical department for 1887 show a less satisfactory state of the public health than those of the immediately preceding years. The cases of infectious diseases, although far from having been all chronicled, were much more numerous in proportion to the population than in England, Holland, Italy, Belgium, or Prussia; leprosy was found in 65 districts, and 615 fresh victims were registered during the year; there were 21 blind to every 10,000 inhabitants—a greater proportion than anywhere else on the Continent; and 27,017 persons poisoned themselves. Every year 15 more persons in every 1,000 die in Russia than in England, which, according to the Novoe Vremya, makes an unnecessary loss of 1,650,000 persons annually sacrificed through inadequate medical assistance. An example of this latter deficiency is given in the Caucasus, where there is only one hospital for every 309,000 inhabitants and one hospital bed for every 12,000.			
3	Deseret Evening News					1889-11-30T00:00:00Z	http://chroniclingamerica.loc.gov/lccn/sn83045555/1889-11-30/ed-1/seq-1/	“An epidemic of influenza in St. Petersburg is spreading. Half the population is suffering. Among them is the Czar and Czarina and two of their children. There have been no fatal cases.”		school, morbidity	
4	Daily Record Union					1889-11-30T00:00:00Z	http://chroniclingamerica.loc.gov/lccn/sn82014381/1889-11-30/ed-1/seq-8/	“Epidemic of influenza. St. Petersburg, November 29th. – The epidemic of influenza in the city is spreading. Half the population is suffering, among them the Czar and Czarina and two of their children. There have been no fatal cases.”			
5	Daily Record Union	St. Petersburg		Sacramento CA		1889-12-01T00:00:00Z	http://chroniclingamerica.loc.gov/lccn/sn82014381/1889-11-30/ed-1/seq-8/	Epidemic of influenza. St. Petersburg, November 29th. – The epidemic of influenza in the city is spreading. Half the population is suffering, among them the Czar and Czarina and two of their children. There have been no fatal cases.			
6	Philadelphia Inquirer	St. Petersburg		Philadelphia		1889-12-01T00:00:00Z		St. Petersburg’s Epidemic. Once this section settles down to a genuine cold it can keep the bulk of Europe frozen stiff for the balance of the winter quite easily. Perhaps, as a consequence of this change in temperature, St. Petersburg is suffering from a curious case of influenza. The type is as inexplicable in its way as was that queer epizootic complaint which ran its course among American horses some fifteen years ago. Practically everybody, from palaces to the lowest hovels, catches this strange disease, which, though not fatal, lasts three or four days and causes great annoyance. Over forty thousand cases have already been medically reported in St. Petersburg alone, with the result that mills and factories have had to close, and it is difficult to get cabs on the streets. The malady is now reported as appearing in Moscow and in far Siberia, and everybody is depressed over the unaccountable thing.			
7	Baltimore Sun	St. Petersburg		Baltimore		1889-12-01T00:00:00Z		Latest News from Europe. The Czar has for the moment ceased to think of the Eastern Question, having painful personal and family worries to occupy his spare tie. An epidemic of influenza of distressing intensity is raging at St. Petersburg, and at the present moment 40 per cent of the population are affected, the boom in pocket handkerchiefs being, in consequence, prodigious The infection spread to the palace, and worked its insidious way through the household to the imperial family. The Czar commenced to sneeze on Tuesday evening, and although he promptly and unselfishly quarantined himself, the Empress soon found her own normal supply of pocket handkerchiefs inadequate for increasing demands. Now the Czar, Czarina, and all the little Grand Dukes and Grand Duchesses are suffering alike in absurdly audible concert. Americans who stay at home at ease should not consider this matter too lightly, for according to eminent medical authority the tendency of this disease is to become pandemic. It will almost certainly spread to other parts of Europe, and there is not the slightest reason why it should not take a trip across the Atlantic. The last time it appeared in England epidemically was in 1847, and it is computed that upon that occasion 250,000 persons suffered.			
8	La Época 	Madrid				1889-12-02T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0000521619&page=3&search=influenza+epidemia++grippe+dengue&lang=en	The “Dengue” Fever and Cholera. London 2--The Times published a story today that caught the attention of many. It said that many doctors suspect that the dengue fever that has spread from Russia with astonishing rapidity, is no more than a precursor to an outbreak of cholera in Europe in the coming spring. At other times this epidemic has been followed by this terrible scourge. The adoption of sanitary measures is advised. 	Spanish	Dengue; cholera; epidemic; scourge; sanitation	
9	La Unión Católico 					1889-12-02T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0004874429&page=2&search=gripe+ruso+epidemia++influenza&lang=en	Epidemics. PARIS 9- For two days a rumor has persistently circulated of the presence of an epidemic fever among the employees of the great Louvre warehouses.  The rumors were minimized at first but now they circulate with great force. The newspapers the Eclair, Met d’Ordre and Petit National, say that the number of employees affected rose to the figure 400. LONDON 9- The Standard said today that the Russian epidemic called influenza has already spread through Denmark, causing many cases in Copenhagen. It has called attention to the rapidity with which the disease spread from Greece to St. Petersburg and from St. Petersburg to Copenhagen. 	Spanish	Epidemic; fever; Cases; Rapid spread	
10	Camperdown Chronicle	St. Petersburg, Russia; Moscow, Russia		Victoria, Australia		1889-12-03T00:00:00Z	http://trove.nla.gov.au/ndp/del/article/22475908?searchTerm=influenza&searchLimits=exactPhrase|||anyWords|||notWords|||fromdd=25|||frommm=11|||fromyyyy=1889|||todd=01|||tomm=03|||toyyyy=1890|||l-category=Article|||l-category=Detailed+lists%2C+results%2C+guides|||l-category=Family+Notices|||l-category=Literature|||l-word=*ignore*%7C*ignore*|||sortby=dateAsc#pstart3637378	A mysterious epidemic, very similar to influenza, has broken out in St. Petersburgh, and so rapidly has it spread that half the population of the capital are suffering from the disease. His Majesty the Czar and many members of the Imperial family have been attacked by the malady, which, however, the physicians declare is not of a fatal nature. The epidemic has spread to Moscow and other towns with similar effects.	English	Czar	
11	Launceston Examiner	St. Petersburg, Russia; Moscow, Russia		Tasmania, Australia		1889-12-03T00:00:00Z	http://trove.nla.gov.au/ndp/del/article/38358675?searchTerm=influenza&searchLimits=exactPhrase|||anyWords|||notWords|||fromdd=25|||frommm=11|||fromyyyy=1889|||todd=01|||tomm=03|||toyyyy=1890|||l-category=Article|||l-category=Detailed+lists%2C+results%2C+guides|||l-category=Family+Notices|||l-category=Literature|||l-word=*ignore*%7C*ignore*|||sortby=dateAsc#pstart3400641	AN UNPLEASANT SUSPICION. A peculiar epidemic of influenza, which is regarded by many as the forerunner of an outbreak of cholera, is now prevalent in many localities. (FROM THE MELBOURNE PRESS)	English	Cholera	
12	Goulburn Evening Penny Post	St. Petersburg, Russia; Moscow, Russia		New South Wales, Australia		1889-12-03T00:00:00Z	http://trove.nla.gov.au/ndp/del/article/98492342?searchTerm=influenza&searchLimits=exactPhrase|||anyWords|||notWords|||fromdd=25|||frommm=11|||fromyyyy=1889|||todd=01|||tomm=03|||toyyyy=1890|||l-category=Article|||l-category=Detailed+lists%2C+results%2C+guides|||l-category=Family+Notices|||l-category=Literature|||l-word=*ignore*%7C*ignore*|||sortby=dateAsc#pstart9506120	 A mysterious epidemic similar to influenza has broken out at St. Petersburg, and is spreading to Moscow and other cities. Half the population is affected.	English		
13	Wagga Wagga Advertiser	St. Petersburg, Russia; Moscow, Russia		New South Wales, Australia		1889-12-03T00:00:00Z	http://trove.nla.gov.au/ndp/del/article/101891502?searchTerm=influenza&searchLimits=exactPhrase|||anyWords|||notWords|||fromdd=25|||frommm=11|||fromyyyy=1889|||todd=01|||tomm=03|||toyyyy=1890|||l-category=Article|||l-category=Detailed+lists%2C+results%2C+guides|||l-category=Family+Notices|||l-category=Literature|||l-word=*ignore*%7C*ignore*|||sortby=dateAsc#pstart10663729	ST. PETERSBURG, Nov. 30. A mysterious epidemic, very similar to influenza, has broken out here, and so rapidly has it spread that half the population of the capital are suffering from the disease. His Majesty the Czar and many members of the Imperial family have been attacked by the malady, which, however, the physicians declare is not of a fatal nature. The epidemic has spread to Moscow and other towns with similar effects.	English	Czar	
14	The Mercury			Hobart, Tasmania, Australia		1889-12-03T00:00:00Z	http://trove.nla.gov.au/ndp/del/article/9224500?searchTerm=influenza&searchLimits=exactPhrase|||anyWords|||notWords|||l-textSearchScope=*ignore*%7C*ignore*|||fromdd=20|||frommm=11|||fromyyyy=1889|||todd=30|||tomm=01|||toyyyy=1890|||l-word=*ignore*%7C*ignore*|||sortby	INFLUENZA EPIDEMIC.            An influenza epidemic is prevailing, and by many is regarded as a forerunner of cholera.      	English	Cholera	
